Annual Income ($),Education Expense per capita,Home Loan Interest per captia
125000.50,19.00,18.11
135000.50,139.50,95.96
145000.50,346.14,251.91
165000.50,784.47,492.98
195000.50,1426.44,830.26
225000.50,1568.92,1284.09
255000.50,1564.46,1393.87
285000.50,1631.03,1748.19
350000.50,1808.41,2379.70
450000.50,1934.93,3775.26
550000.50,2236.03,5090.08
650000.50,2090.78,5510.27
750000.50,2052.12,6438.42
850000.50,1836.85,6632.27
950000.50,2051.65,7158.26
1250000.50,1729.16,7676.97
1750000.50,1578.43,9345.06
2500000.50,1075.08,10709.98
4000000.50,750.70,10654.81
6250000.50,525.66,10359.84
8750000.50,379.48,10228.39
15000000.50,404.72,9044.81
